aggregated_bs_id,type,n_base_stations,lng,lat
141,AGGREGATED,4,9.1209628901367,45.364260132324
142,LTE,1,9.123908,45.365381
143,UMTS,1,9.127274,45.363846
144,UMTS,1,9.131482,45.364211
145,AGGREGATED,5,9.13300326132812,45.36412809531239
146,UMTS,1,9.1344451904297,45.364608764648
147,UMTS,1,9.149826,45.365528
148,AGGREGATED,6,9.154892185221366,45.36390199121099
149,AGGREGATED,3,9.1570066155599,45.364412588216
150,AGGREGATED,2,9.15963321435545,45.3631692368165
151,AGGREGATED,2,9.1621855,45.364643
152,UMTS,1,9.16505,45.365864
153,UMTS,1,9.179306,45.366898
154,UMTS,1,9.1825103759766,45.364608764648
155,AGGREGATED,2,9.1852569790039,45.363750382324
156,UMTS,1,9.1880035400391,45.364608764648
157,AGGREGATED,3,9.193258568033867,45.36418825488266
158,UMTS,1,9.201933,45.365001
159,LTE,1,9.2031097412109,45.364608764648
160,AGGREGATED,3,9.207143538085932,45.36386482454433
161,UMTS,1,9.210964,45.362442
162,LTE,1,9.216156,45.365639
163,UMTS,1,9.217758,45.363235
164,UMTS,1,9.2209625244141,45.365982055664
165,AGGREGATED,4,9.2298015,45.36369
166,AGGREGATED,3,9.2310333251953,45.36323547363301
167,UMTS,1,9.236295,45.363817
168,UMTS,1,9.242022,45.363005
169,AGGREGATED,3,9.244033647786466,45.36318964908867
170,AGGREGATED,6,9.2471820843099,45.363391482422
171,UMTS,1,9.2484283447266,45.363235473633
172,LTE,1,9.280471,45.365524
173,UMTS,1,9.28505,45.365067
174,UMTS,1,9.2868804931641,45.363235473633
175,AGGREGATED,3,9.288588594726567,45.36417225488267
176,AGGREGATED,12,9.292040977294924,45.36421148087549
177,AGGREGATED,6,9.2946330226237,45.36349090348316
178,AGGREGATED,4,9.297899778076175,45.363975191162
179,AGGREGATED,2,9.3013000488281,45.3639221191405
180,UMTS,1,9.302906,45.364458
181,LTE,1,9.308091,45.36644
182,UMTS,1,9.030532,45.366898
183,UMTS,1,9.068525,45.367748
184,UMTS,1,9.071582,45.367509
185,UMTS,1,9.106783,45.368532
186,AGGREGATED,2,9.1097835,45.3652935
187,UMTS,1,9.110241,45.365295
188,UMTS,1,9.1138458251953,45.365982055664
189,UMTS,1,9.1193389892578,45.364608764648
190,AGGREGATED,5,9.12209911425782,45.36642801113281
191,AGGREGATED,2,9.1235785,45.365836
192,UMTS,1,9.128265,45.365982
193,AGGREGATED,7,9.133806224469872,45.36611273814172
194,UMTS,1,9.1344451904297,45.365982055664
195,LTE,1,9.13707,45.368134
196,UMTS,1,9.143543,45.367184
197,AGGREGATED,3,9.150881,45.36636533333333
198,AGGREGATED,2,9.153529,45.3659575
199,AGGREGATED,2,9.157310568847649,45.365982027832
200,AGGREGATED,5,9.1600696,45.366190200000005
201,LTE,1,9.163342,45.36755
202,UMTS,1,9.174859,45.368729
203,UMTS,1,9.1880035400391,45.36735534668
204,UMTS,1,9.192702,45.365115
205,UMTS,1,9.195788,45.367813
206,LTE,1,9.200638,45.366257
207,AGGREGATED,2,9.2012855,45.365629
208,UMTS,1,9.2031097412109,45.36735534668
209,AGGREGATED,3,9.208811,45.366131333333335
210,UMTS,1,9.209227,45.365857
211,UMTS,1,9.2140960693359,45.36735534668
212,AGGREGATED,4,9.2165851628418,45.366325513916
213,UMTS,1,9.227828,45.366669
214,AGGREGATED,6,9.229197878417969,45.36608500927733
215,UMTS,1,9.232407,45.365982
216,UMTS,1,9.23944,45.368541
217,UMTS,1,9.246368,45.365295
218,AGGREGATED,4,9.24711208618165,45.365524013916
219,UMTS,1,9.250488,45.366669
220,UMTS,1,9.255294,45.36644
221,AGGREGATED,2,9.28024251904295,45.365753027832
222,AGGREGATED,8,9.28960791259765,45.366230152832
223,AGGREGATED,4,9.291778591552724,45.365598763916005
224,AGGREGATED,2,9.295328,45.36596
225,UMTS,1,9.298755,45.36679
226,UMTS,1,9.301986,45.365067
227,UMTS,1,9.021835,45.371475
228,UMTS,1,9.027786,45.368729
229,LTE,1,9.0438079833984,45.375595092773
230,LTE,1,9.1056060791016,45.370101928711
231,UMTS,1,9.108353,45.369415
232,UMTS,1,9.110756,45.367813
233,UMTS,1,9.120754,45.369561
234,UMTS,1,9.122086,45.368042
235,AGGREGATED,6,9.123930812988284,45.368042770345
236,AGGREGATED,2,9.12607922216795,45.36751567334
237,LTE,1,9.129866,45.367814
238,AGGREGATED,4,9.133073,45.3685125
239,AGGREGATED,6,9.1358324938151,45.36797349739584
240,UMTS,1,9.149366,45.369572
241,AGGREGATED,2,9.151375,45.368419
242,AGGREGATED,2,9.1540865,45.367669500000005
243,AGGREGATED,4,9.1569565,45.3678765
244,UMTS,1,9.157933,45.368118
245,AGGREGATED,2,9.1648292963867,45.36752717334
246,UMTS,1,9.165001,45.367699
247,UMTS,1,9.17703,45.368729
248,UMTS,1,9.180794,45.369186
249,UMTS,1,9.186081,45.368729
250,AGGREGATED,3,9.186906513346369,45.36804244889333
251,UMTS,1,9.195433,45.368666
252,AGGREGATED,3,9.196050666666666,45.36817366666667
253,UMTS,1,9.196931,45.368042
254,UMTS,1,9.208603,45.366669
